session_id,student_level,discipline,session_date,session_length_min,total_prompts,task_type,ai_assistance_level,final_outcome,used_again,satisfaction_rating
SESSION00064,Undergraduate,Business,2024/11/15,5,1,Homework Help,4,Assignment Completed,TRUE,3.9
SESSION00065,High School,Psychology,2025/03/02,12,2,Brainstorming,4,Idea Drafted,TRUE,4.4
SESSION00066,Undergraduate,Biology,2024/11/02,9,3,Coding,3,Assignment Completed,TRUE,2.7
SESSION00067,Undergraduate,Computer Science,2024/12/02,7,1,Studying,3,Idea Drafted,TRUE,2.5
SESSION00068,Undergraduate,Business,2025/04/11,13,2,Coding,3,Assignment Completed,TRUE,3.8
SESSION00069,Undergraduate,History,2025/05/15,41,12,Studying,3,Idea Drafted,TRUE,3.1
SESSION00070,Graduate,Computer Science,2024/06/26,17,6,Homework Help,2,Assignment Completed,TRUE,3
SESSION00071,Undergraduate,Engineering,2024/10/24,10,3,Studying,4,Idea Drafted,TRUE,5
SESSION00072,Undergraduate,Business,2025/05/24,11,5,Coding,3,Confused,FALSE,2.3
SESSION00073,Undergraduate,Math,2024/12/20,5,1,Coding,3,Assignment Completed,TRUE,2.3
SESSION00074,High School,Engineering,2024/07/27,14,4,Studying,4,Confused,FALSE,4.4
SESSION00075,High School,Psychology,2024/08/15,50,10,Writing,5,Assignment Completed,FALSE,5
SESSION00076,Graduate,Biology,2025/05/17,13,3,Studying,4,Assignment Completed,TRUE,5
SESSION00077,Undergraduate,Engineering,2024/07/31,27,8,Writing,3,Idea Drafted,TRUE,2.5
SESSION00078,Undergraduate,History,2025/02/09,7,1,Coding,5,Assignment Completed,TRUE,5
SESSION00079,Graduate,Business,2025/01/12,48,20,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00080,Undergraduate,History,2025/01/28,37,13,Coding,2,Idea Drafted,TRUE,1.8
SESSION00081,Undergraduate,History,2025/04/17,16,6,Homework Help,3,Assignment Completed,FALSE,4.3
SESSION00082,Undergraduate,Computer Science,2024/08/08,16,4,Studying,4,Assignment Completed,TRUE,4.2
SESSION00083,Undergraduate,Math,2025/02/09,20,7,Brainstorming,5,Confused,FALSE,5
SESSION00084,Graduate,Business,2024/08/15,11,2,Homework Help,3,Idea Drafted,TRUE,2.5
SESSION00085,Undergraduate,Business,2024/12/24,16,3,Writing,2,Idea Drafted,FALSE,1.5
SESSION00086,High School,Math,2025/01/01,7,2,Writing,2,Confused,FALSE,2.6
SESSION00087,Graduate,Business,2025/01/24,16,3,Coding,5,Assignment Completed,TRUE,4.2
SESSION00088,High School,Business,2025/01/24,15,5,Homework Help,3,Assignment Completed,TRUE,4.1
SESSION00089,Undergraduate,History,2025/04/01,15,4,Homework Help,3,Assignment Completed,TRUE,3.5
SESSION00090,Undergraduate,Business,2025/04/15,5,1,Studying,4,Confused,FALSE,3.1
SESSION00091,Undergraduate,Computer Science,2024/11/03,25,8,Writing,3,Assignment Completed,TRUE,3.4
SESSION00092,Undergraduate,Biology,2024/08/09,10,2,Writing,5,Assignment Completed,FALSE,5
SESSION00093,Undergraduate,Math,2025/02/21,35,16,Homework Help,5,Confused,TRUE,5
SESSION00094,Graduate,History,2025/05/04,13,3,Homework Help,2,Confused,TRUE,1
SESSION00095,High School,Business,2024/07/06,10,2,Homework Help,2,Assignment Completed,TRUE,2
SESSION00096,Graduate,Biology,2025/04/25,11,4,Writing,4,Gave Up,FALSE,3.9
SESSION00097,High School,History,2025/05/14,31,14,Homework Help,4,Assignment Completed,TRUE,2.3
SESSION00098,Undergraduate,Engineering,2025/02/26,27,7,Homework Help,3,Gave Up,TRUE,2.8
SESSION00099,Undergraduate,Math,2024/10/25,11,3,Studying,4,Idea Drafted,TRUE,2.7
SESSION00100,Graduate,Psychology,2024/09/27,5,1,Studying,3,Confused,FALSE,2.8
SESSION00101,Graduate,Biology,2024/10/23,24,5,Homework Help,4,Assignment Completed,TRUE,3.5
SESSION00102,Undergraduate,Engineering,2025/01/18,16,4,Studying,4,Assignment Completed,TRUE,1.9
SESSION00103,Undergraduate,Business,2025/05/09,9,3,Homework Help,3,Idea Drafted,TRUE,1
SESSION00104,Undergraduate,Psychology,2024/12/06,15,3,Writing,3,Idea Drafted,FALSE,1.6
SESSION00105,Undergraduate,Biology,2024/10/15,15,5,Coding,3,Assignment Completed,TRUE,3
SESSION00106,Undergraduate,Business,2024/07/09,8,2,Studying,4,Idea Drafted,TRUE,3.7
SESSION00107,Undergraduate,Psychology,2025/05/23,39,8,Studying,4,Idea Drafted,TRUE,3.2
SESSION00108,High School,Business,2024/08/04,17,4,Studying,1,Confused,FALSE,1.5
SESSION00109,Graduate,Math,2024/07/15,42,16,Studying,2,Idea Drafted,FALSE,1.9
SESSION00110,Graduate,Engineering,2025/06/23,16,6,Writing,3,Assignment Completed,TRUE,3.5
SESSION00111,Graduate,Computer Science,2024/10/18,39,16,Research,4,Gave Up,FALSE,5
SESSION00112,Undergraduate,Biology,2025/03/09,28,7,Writing,4,Assignment Completed,TRUE,3.9
SESSION00113,Undergraduate,Biology,2024/08/16,11,5,Coding,5,Idea Drafted,TRUE,3.6
SESSION00114,Undergraduate,Psychology,2025/03/21,26,6,Homework Help,3,Assignment Completed,TRUE,3.6
SESSION00115,High School,Math,2024/10/02,23,9,Homework Help,4,Assignment Completed,FALSE,2.9
SESSION00116,High School,Business,2025/05/06,14,3,Writing,3,Idea Drafted,TRUE,3.6
SESSION00117,Graduate,Psychology,2024/11/18,18,4,Writing,3,Idea Drafted,TRUE,3.1
SESSION00118,Undergraduate,Biology,2024/08/22,23,4,Writing,4,Confused,FALSE,3.7
SESSION00119,Undergraduate,Computer Science,2024/10/11,16,5,Research,4,Idea Drafted,FALSE,3.1
SESSION00120,Undergraduate,Math,2024/11/03,21,9,Studying,5,Assignment Completed,TRUE,5
SESSION00121,Undergraduate,History,2025/05/20,34,7,Writing,5,Idea Drafted,TRUE,4.3
SESSION00122,High School,Biology,2024/12/01,7,3,Brainstorming,3,Assignment Completed,FALSE,2.4
SESSION00123,Undergraduate,Engineering,2024/07/22,19,4,Studying,2,Gave Up,FALSE,2.7
SESSION00124,Undergraduate,Math,2025/01/16,17,4,Brainstorming,5,Confused,FALSE,4.4
SESSION00125,Graduate,Biology,2024/11/12,14,3,Brainstorming,5,Assignment Completed,TRUE,3.6
SESSION00126,Undergraduate,Math,2024/07/23,19,5,Writing,3,Assignment Completed,FALSE,2.5
SESSION00127,Graduate,Biology,2025/01/03,17,4,Studying,3,Gave Up,TRUE,2.5
SESSION00128,Undergraduate,Psychology,2024/10/21,19,4,Writing,5,Assignment Completed,TRUE,4.4
SESSION00129,High School,Computer Science,2025/04/06,14,4,Research,5,Assignment Completed,FALSE,4.7
SESSION00130,Undergraduate,Psychology,2024/10/18,4,1,Writing,4,Assignment Completed,TRUE,4.9
SESSION00131,Undergraduate,History,2024/11/29,38,7,Writing,3,Assignment Completed,TRUE,2.9
SESSION00132,Undergraduate,Math,2024/07/02,8,2,Coding,5,Assignment Completed,TRUE,4.5
SESSION00133,Undergraduate,Psychology,2024/07/04,20,5,Studying,3,Idea Drafted,FALSE,2.6
SESSION00134,Graduate,Psychology,2024/10/12,14,3,Homework Help,5,Gave Up,FALSE,5
SESSION00135,Undergraduate,Computer Science,2024/10/29,16,4,Writing,4,Idea Drafted,TRUE,3.6
SESSION00136,High School,Computer Science,2024/09/03,7,2,Studying,4,Gave Up,FALSE,4.2
SESSION00137,Undergraduate,Business,2025/03/27,3,1,Coding,5,Idea Drafted,TRUE,5
SESSION00138,Graduate,Psychology,2024/07/30,11,4,Writing,4,Idea Drafted,FALSE,5
SESSION00139,Undergraduate,Business,2025/05/27,18,4,Coding,5,Assignment Completed,TRUE,5
SESSION00140,Graduate,Math,2024/08/16,9,2,Coding,3,Assignment Completed,TRUE,2.1
SESSION00141,Undergraduate,Computer Science,2025/06/20,24,11,Writing,3,Assignment Completed,TRUE,2.3
SESSION00142,Undergraduate,History,2025/01/13,20,5,Research,5,Idea Drafted,FALSE,5
SESSION00143,Graduate,History,2025/02/13,15,4,Studying,5,Confused,FALSE,5
SESSION00144,Undergraduate,History,2025/02/11,15,6,Brainstorming,3,Assignment Completed,TRUE,2.7
SESSION00145,Graduate,Computer Science,2025/05/20,18,6,Coding,3,Assignment Completed,TRUE,2.3
SESSION00146,High School,Business,2024/08/01,17,7,Brainstorming,5,Assignment Completed,TRUE,5
SESSION00147,Undergraduate,Math,2024/11/11,31,6,Writing,3,Idea Drafted,TRUE,2.8
SESSION00148,Undergraduate,Engineering,2024/08/07,11,3,Studying,3,Idea Drafted,TRUE,1.6
SESSION00149,Undergraduate,Psychology,2024/07/30,10,2,Writing,4,Assignment Completed,TRUE,2.8
SESSION00150,Undergraduate,Math,2024/10/04,27,6,Homework Help,4,Confused,FALSE,3.7
SESSION00151,High School,Computer Science,2025/04/18,22,10,Studying,3,Confused,TRUE,2.6
SESSION00152,Graduate,Psychology,2024/10/31,8,2,Studying,4,Assignment Completed,TRUE,3.2
SESSION00153,Graduate,Biology,2024/10/25,15,3,Coding,4,Idea Drafted,TRUE,2.2
SESSION00154,Undergraduate,Engineering,2025/06/04,16,5,Homework Help,5,Assignment Completed,TRUE,3.3
SESSION00155,Graduate,Computer Science,2024/08/11,26,8,Homework Help,4,Assignment Completed,TRUE,3.7
SESSION00156,Undergraduate,Business,2024/09/02,8,3,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00157,Undergraduate,Business,2025/02/02,20,6,Homework Help,2,Assignment Completed,TRUE,1
SESSION00158,Undergraduate,Business,2024/09/14,14,3,Coding,4,Idea Drafted,TRUE,4.2
SESSION00159,Graduate,Computer Science,2025/02/05,12,4,Homework Help,2,Assignment Completed,TRUE,3.8
SESSION00160,Undergraduate,Engineering,2025/04/30,7,1,Coding,4,Assignment Completed,TRUE,4
SESSION00161,Undergraduate,Business,2024/07/24,12,4,Coding,3,Assignment Completed,TRUE,2.9
SESSION00162,Undergraduate,History,2024/09/21,13,2,Writing,3,Assignment Completed,TRUE,1.3
SESSION00163,Graduate,Psychology,2024/07/13,3,1,Homework Help,5,Assignment Completed,TRUE,4.8
SESSION00164,High School,Engineering,2024/10/09,12,2,Writing,5,Assignment Completed,FALSE,4.4
SESSION00165,High School,Computer Science,2024/10/22,8,1,Writing,3,Assignment Completed,FALSE,3.3
SESSION00166,High School,Business,2025/05/16,8,1,Studying,2,Idea Drafted,FALSE,1
SESSION00167,High School,Computer Science,2025/04/15,11,3,Homework Help,3,Confused,TRUE,3.2
SESSION00168,Undergraduate,Math,2025/01/23,40,9,Coding,4,Assignment Completed,TRUE,4.1
SESSION00169,Undergraduate,Engineering,2025/04/13,8,2,Coding,4,Assignment Completed,TRUE,4.7
SESSION00170,Undergraduate,Computer Science,2025/01/20,7,1,Writing,4,Confused,FALSE,4.7
SESSION00171,Undergraduate,Business,2025/06/13,25,5,Studying,4,Idea Drafted,TRUE,3.3
SESSION00172,Undergraduate,Engineering,2025/05/23,1,1,Studying,4,Assignment Completed,FALSE,3.9
SESSION00173,Undergraduate,Engineering,2024/07/24,21,8,Homework Help,3,Assignment Completed,TRUE,3.3
SESSION00174,High School,Math,2025/05/05,13,3,Writing,2,Confused,FALSE,1
SESSION00175,Undergraduate,Engineering,2025/03/27,20,7,Studying,4,Idea Drafted,TRUE,4
SESSION00176,Undergraduate,Psychology,2025/01/23,17,3,Writing,3,Assignment Completed,TRUE,3.1
SESSION00177,Undergraduate,Business,2025/06/22,13,2,Writing,4,Assignment Completed,TRUE,3.8
SESSION00178,Undergraduate,Biology,2025/02/03,9,2,Writing,4,Assignment Completed,TRUE,5
SESSION00179,Undergraduate,Engineering,2025/05/27,11,2,Writing,3,Assignment Completed,TRUE,3.3
SESSION00180,Graduate,Psychology,2025/03/19,20,8,Coding,3,Confused,FALSE,1.2
SESSION00181,Undergraduate,Computer Science,2025/01/22,8,2,Writing,3,Assignment Completed,TRUE,4.9
SESSION00182,Undergraduate,Computer Science,2024/10/17,4,1,Studying,3,Idea Drafted,TRUE,2.3
SESSION00183,Undergraduate,Psychology,2025/06/10,10,3,Coding,5,Assignment Completed,TRUE,5
SESSION00184,High School,Business,2025/01/24,4,1,Writing,5,Idea Drafted,TRUE,4.4
SESSION00185,Undergraduate,Business,2025/03/06,39,8,Writing,3,Idea Drafted,TRUE,3.4
SESSION00186,High School,Psychology,2024/10/17,9,2,Studying,5,Confused,FALSE,4.7
SESSION00187,Undergraduate,Business,2024/08/02,21,4,Writing,2,Assignment Completed,TRUE,2.1
SESSION00188,Graduate,Biology,2025/06/06,27,6,Coding,5,Assignment Completed,TRUE,4.5
SESSION00189,Undergraduate,Biology,2024/11/27,40,19,Coding,4,Assignment Completed,FALSE,3.9
SESSION00190,High School,Math,2025/04/12,9,3,Homework Help,4,Assignment Completed,TRUE,3.5
SESSION00191,Undergraduate,Computer Science,2025/06/20,13,2,Writing,3,Gave Up,TRUE,3.9
SESSION00192,Undergraduate,Computer Science,2024/07/09,12,3,Homework Help,3,Confused,TRUE,2.9
SESSION00193,Graduate,Computer Science,2024/10/23,16,5,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00194,Undergraduate,Biology,2025/06/15,19,4,Studying,3,Gave Up,FALSE,3.6
SESSION00195,Undergraduate,Computer Science,2025/05/30,10,4,Studying,4,Confused,FALSE,4.3
SESSION00196,Undergraduate,Business,2024/12/04,37,14,Studying,5,Idea Drafted,TRUE,5
SESSION00197,Undergraduate,Business,2024/07/30,27,5,Brainstorming,4,Assignment Completed,FALSE,3.3
SESSION00198,Undergraduate,Computer Science,2025/03/06,73,25,Homework Help,2,Gave Up,FALSE,2
SESSION00199,Graduate,Computer Science,2024/10/31,24,5,Homework Help,5,Assignment Completed,FALSE,5
SESSION00200,Undergraduate,Business,2024/10/06,16,4,Studying,2,Confused,FALSE,2.8
SESSION00201,Graduate,Business,2025/04/07,2,1,Homework Help,3,Confused,TRUE,1.7
SESSION00202,Graduate,Computer Science,2024/07/14,14,2,Homework Help,3,Confused,FALSE,4.3
SESSION00203,Undergraduate,History,2024/08/16,24,6,Coding,4,Idea Drafted,FALSE,3.9
SESSION00204,High School,Biology,2024/07/20,19,6,Studying,4,Assignment Completed,TRUE,2.5
SESSION00205,High School,Biology,2024/07/30,31,6,Homework Help,4,Assignment Completed,TRUE,2.5
SESSION00206,Graduate,Psychology,2025/02/07,15,4,Studying,2,Idea Drafted,TRUE,1.8
SESSION00207,Undergraduate,Business,2024/06/25,47,17,Studying,4,Assignment Completed,TRUE,3.3
SESSION00208,Undergraduate,Biology,2024/08/04,4,1,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00209,Undergraduate,Engineering,2025/06/05,40,9,Homework Help,4,Gave Up,FALSE,3.9
SESSION00210,Undergraduate,History,2024/12/26,48,10,Coding,5,Confused,FALSE,3.9
SESSION00211,Undergraduate,Math,2024/07/10,8,3,Writing,4,Gave Up,FALSE,5
SESSION00212,High School,Engineering,2024/12/23,20,5,Studying,3,Assignment Completed,FALSE,4
SESSION00213,Undergraduate,Psychology,2025/05/04,20,7,Coding,4,Assignment Completed,FALSE,5
SESSION00214,Undergraduate,Computer Science,2024/11/11,84,31,Homework Help,5,Confused,FALSE,5
SESSION00215,Undergraduate,Business,2024/11/28,11,4,Writing,5,Idea Drafted,TRUE,5
SESSION00216,High School,History,2025/01/20,6,1,Homework Help,5,Assignment Completed,TRUE,5
SESSION00217,Undergraduate,Engineering,2024/08/04,11,3,Research,1,Confused,FALSE,2
SESSION00218,Undergraduate,Biology,2024/10/04,11,2,Homework Help,3,Assignment Completed,TRUE,2.5
SESSION00219,Undergraduate,Psychology,2024/08/24,43,12,Studying,3,Idea Drafted,TRUE,3
SESSION00220,Graduate,Math,2025/02/08,5,1,Studying,4,Assignment Completed,TRUE,4.9
SESSION00221,Graduate,Business,2025/06/23,24,6,Writing,3,Idea Drafted,TRUE,3.2
SESSION00222,Undergraduate,Engineering,2025/01/27,30,11,Homework Help,2,Assignment Completed,TRUE,2.4
SESSION00223,Undergraduate,Biology,2025/06/06,17,5,Coding,3,Assignment Completed,TRUE,2.4
SESSION00224,High School,History,2025/04/28,24,6,Writing,3,Assignment Completed,TRUE,4.4
SESSION00225,Graduate,Engineering,2024/09/28,15,5,Studying,4,Assignment Completed,FALSE,4.3
SESSION00226,Graduate,Biology,2024/07/25,45,11,Writing,5,Assignment Completed,TRUE,4.9
SESSION00227,High School,History,2024/10/31,19,8,Research,5,Confused,FALSE,3.8
SESSION00228,Graduate,Math,2024/08/28,12,3,Homework Help,5,Assignment Completed,TRUE,5
SESSION00229,Graduate,Business,2024/09/03,63,17,Writing,2,Assignment Completed,FALSE,1.9
SESSION00230,Undergraduate,Computer Science,2025/03/02,33,7,Coding,3,Confused,FALSE,2.3
SESSION00231,Graduate,Psychology,2025/06/15,18,8,Studying,4,Idea Drafted,FALSE,3.7
SESSION00232,Undergraduate,Psychology,2025/01/30,47,20,Homework Help,3,Assignment Completed,TRUE,1
SESSION00233,Undergraduate,Business,2025/03/23,17,4,Writing,2,Assignment Completed,TRUE,1.5
SESSION00234,High School,History,2025/05/26,16,3,Coding,4,Assignment Completed,TRUE,3.3
SESSION00235,Undergraduate,Psychology,2024/08/03,15,7,Writing,2,Assignment Completed,TRUE,1.1
SESSION00236,Undergraduate,Computer Science,2025/02/23,33,10,Writing,2,Assignment Completed,FALSE,2
SESSION00237,Undergraduate,Psychology,2025/05/05,28,10,Coding,3,Assignment Completed,TRUE,3.3
SESSION00238,Undergraduate,Business,2024/06/30,11,4,Writing,4,Assignment Completed,TRUE,3.5
SESSION00239,Graduate,Math,2024/12/23,39,8,Writing,3,Assignment Completed,TRUE,3
SESSION00240,Undergraduate,Psychology,2024/09/16,9,4,Homework Help,3,Confused,FALSE,4.1
SESSION00241,Undergraduate,Engineering,2025/04/03,28,13,Writing,5,Idea Drafted,TRUE,5
SESSION00242,Graduate,Biology,2025/03/26,6,2,Writing,5,Gave Up,FALSE,4.7
SESSION00243,Undergraduate,Business,2024/08/12,5,2,Homework Help,2,Assignment Completed,TRUE,2.4
SESSION00244,Undergraduate,Computer Science,2024/08/28,11,3,Writing,3,Confused,FALSE,3.6
SESSION00245,Undergraduate,Engineering,2025/04/06,20,5,Coding,4,Assignment Completed,TRUE,4.2
SESSION00246,Undergraduate,Biology,2025/05/09,9,4,Homework Help,2,Idea Drafted,TRUE,2.2
SESSION00247,Graduate,Biology,2025/05/25,18,7,Studying,5,Idea Drafted,TRUE,3.3
SESSION00248,Graduate,Business,2025/03/16,17,4,Coding,4,Assignment Completed,TRUE,4.6
SESSION00249,High School,History,2025/01/07,23,6,Homework Help,4,Assignment Completed,TRUE,3.1
SESSION00250,Undergraduate,Biology,2024/09/24,27,5,Homework Help,3,Assignment Completed,FALSE,4.2
SESSION00251,Undergraduate,History,2024/11/29,13,4,Homework Help,3,Assignment Completed,TRUE,4
SESSION00252,Undergraduate,History,2024/06/26,26,6,Studying,3,Confused,FALSE,3.5
SESSION00253,Graduate,Biology,2025/03/15,12,4,Studying,1,Assignment Completed,TRUE,1
SESSION00254,Graduate,Business,2025/01/13,23,6,Coding,5,Assignment Completed,TRUE,5
SESSION00255,Undergraduate,Math,2025/05/29,19,7,Brainstorming,4,Idea Drafted,TRUE,3.8
SESSION00256,Undergraduate,Business,2024/10/08,12,2,Studying,5,Idea Drafted,TRUE,4.7
SESSION00257,Undergraduate,Computer Science,2025/02/02,33,11,Studying,3,Idea Drafted,TRUE,2.1
SESSION00258,Graduate,Psychology,2025/04/28,12,4,Homework Help,3,Assignment Completed,TRUE,2.6
SESSION00259,High School,Psychology,2025/04/03,37,9,Writing,4,Confused,FALSE,4.6
SESSION00260,Undergraduate,Biology,2025/04/21,6,1,Writing,4,Assignment Completed,TRUE,4.7
SESSION00261,Graduate,History,2025/05/16,27,6,Studying,3,Idea Drafted,TRUE,2.5
SESSION00262,Graduate,Computer Science,2024/09/04,10,4,Coding,3,Gave Up,FALSE,2.5
SESSION00263,Undergraduate,Biology,2025/01/01,68,21,Writing,3,Assignment Completed,FALSE,3.8
SESSION00264,Undergraduate,Math,2025/01/22,17,6,Studying,4,Gave Up,FALSE,3.8
SESSION00265,Undergraduate,Engineering,2024/09/24,4,1,Writing,4,Confused,FALSE,3.7
SESSION00266,Undergraduate,Math,2024/07/17,13,4,Writing,3,Idea Drafted,FALSE,3
SESSION00267,Undergraduate,Computer Science,2024/12/07,2,1,Writing,2,Assignment Completed,TRUE,2.3
SESSION00268,Undergraduate,Engineering,2024/09/13,11,2,Coding,5,Assignment Completed,TRUE,5
SESSION00269,Undergraduate,Computer Science,2025/02/17,20,5,Coding,4,Assignment Completed,TRUE,2.5
SESSION00270,High School,Computer Science,2025/03/09,17,3,Coding,4,Assignment Completed,TRUE,4.8
SESSION00271,Graduate,Computer Science,2024/11/21,38,11,Writing,3,Assignment Completed,TRUE,3.9
SESSION00272,Graduate,Psychology,2024/09/06,3,1,Writing,4,Assignment Completed,TRUE,5
SESSION00273,High School,History,2025/05/10,9,4,Coding,5,Assignment Completed,FALSE,4.1
SESSION00274,Undergraduate,Engineering,2025/01/14,9,3,Coding,4,Assignment Completed,TRUE,4.2
SESSION00275,Undergraduate,Computer Science,2024/10/15,6,1,Coding,3,Assignment Completed,TRUE,3.4
SESSION00276,Undergraduate,History,2024/11/04,14,6,Coding,4,Confused,FALSE,4.1
